# index, name, _pos
206,GAT1,"array([ 17.33710409, -18.98371166])"
207,GAT4,"array([  7.23213989, -19.81860882])"
208,GCN4,"array([ 50.23187625, -11.41146811])"
209,GCR1,"array([-20.90485617, -29.94924955])"
210,GCV3,"array([-12.16420256,  -7.08961072])"
211,GCY1,"array([ 30.17726688, -62.35572099])"
212,GDH1,"array([ 15.78271792, -10.46761488])"
213,GDH2,"array([11.17292382, -6.55912946])"
214,GDH3,"array([-17.03113067, -28.01079537])"
215,GEF1,"array([-18.33371734, -32.01227564])"
216,GIC2,"array([-19.39437671, -29.38258869])"
217,GIS1,"array([ 21.51435753, -12.29234041])"
218,GLK1,"array([ 10.89254144, -21.13430582])"
219,GLN1,"array([ 17.01656539, -25.31090096])"
220,GLN3,"array([ 23.08272763, -24.00811886])"
221,GLO1,"array([ 13.91039565, -31.40239227])"
222,GLR1,"array([ 18.91481425, -15.61832714])"
223,GLT1,"array([ -4.46131595, -20.78818596])"
224,GPD1,"array([  6.07207773, -15.16068947])"
225,GPM1,"array([-12.73763934, -28.13519578])"
226,GPX2,"array([-16.90662233, -31.50636409])"
227,GRE2,"array([ -9.33182279, -25.28368493])"
228,GRE3,"array([-19.66667631, -31.08830923])"
229,GRX1,"array([-18.44049398, -30.63014625])"
230,GSC2,"array([ 20.22735759, -26.50317793])"
231,GSH1,"array([ 12.7318266 , -17.24559338])"
232,GUT1,"array([17.19839712, -9.18106347])"
233,HAL1,"array([ -6.12480696, -50.76840268])"
234,HAL9,"array([ 13.67398185, -22.61509831])"
235,HAP1,"array([ 13.94030675, -23.85561742])"
236,HAP2,"array([ 15.84861376, -23.45298854])"
237,HAP3,"array([ 15.04511552, -28.16516988])"
238,HAP4,"array([ 12.36322217, -30.02935388])"
239,HDA1,"array([ 13.36159962, -26.84135679])"
240,HEM1,"array([ 15.81234908, -25.73259855])"
241,HEM13,"array([ 15.39773523, -30.08303653])"
242,HEM2,"array([ 28.80000084, -28.30430779])"
243,HEM3,"array([20.51792367, -5.7035786 ])"
244,HHF1,"array([ 27.61968411, -27.67798005])"
245,HHF2,"array([42.40727771,  9.70208972])"
246,HIS1,"array([32.12843671, 10.48731518])"
247,HIS2,"array([ 14.4360518 , -11.12856147])"
248,HIS3,"array([ 20.62547064, -30.34282153])"
249,HIS4,"array([  1.32840538, -26.88570667])"
250,HIS5,"array([ 53.32837139, -24.17419728])"
251,HIS6,"array([ 21.77940218, -33.42711008])"
252,HIS7,"array([ 14.41349387, -30.32208494])"
253,HMG1,"array([ 25.16802978, -25.84974711])"
254,HNM1,"array([ 30.57026454, -27.73931877])"
255,HO,"array([  3.96463197, -22.70406631])"
256,HOM2,"array([  7.14088867, -30.72344917])"
257,HOM3,"array([10.53732455, -7.28105208])"
258,HOP1,"array([  5.37813936, -11.56191765])"
259,HOR2,"array([  2.28171735, -23.93044991])"
260,HSC82,"array([ 25.41358454, -29.0323149 ])"
261,HSF1,"array([ 27.00628452, -26.18447677])"
262,HSP104,"array([  3.09763601, -19.10682318])"
263,HSP12,"array([ -1.31880604, -23.82052384])"
264,HSP26,"array([ 24.2673734 , -28.49984486])"
265,HSP42,"array([ 13.9696851 , -27.90841163])"
266,HSP78,"array([ -0.95567382, -29.75058823])"
267,HSP82,"array([ -4.48854404, -58.76234786])"
268,HTA1,"array([ -3.32996806, -22.21725069])"
269,HTB1,"array([ -2.64991949, -19.41577925])"
270,HTB2,"array([  2.16859758, -20.66313616])"
271,HUG1,"array([  2.60990121, -22.81285877])"
272,HXK1,"array([ 13.2961498 , -61.90265921])"
273,HXT1,"array([ 11.18784142, -37.95456112])"
274,HXT11,"array([ -3.05366272, -24.68871414])"
275,HXT13,"array([ -0.18460896, -64.18845829])"
276,HXT2,"array([ 13.43815791, -17.00651119])"
277,HXT3,"array([ 22.05343665, -64.83280055])"
278,HXT4,"array([ 16.74312668, -26.20170898])"
279,HXT6,"array([ 10.841899  , -32.70928265])"
280,HXT7,"array([  4.8851159 , -28.36420076])"
281,HXT9,"array([  9.09574196, -32.15313205])"
282,HYM1,"array([ 13.08819379, -35.54523334])"
283,HYP2,"array([ 15.34124288, -24.91797623])"
284,ICL1,"array([17.54736631, 24.97035827])"
285,IDH1,"array([ 48.92671819, -31.31708364])"
286,IDH2,"array([ 24.44950038, -16.38034178])"
287,IDP2,"array([  8.48712578, -36.98439455])"
288,IDP3,"array([  6.68490424, -28.68321547])"
289,ILV1,"array([  9.32772888, -36.26857775])"
290,ILV2,"array([  5.6502506 , -34.66532525])"
291,ILV5,"array([16.7795521 , 18.62001361])"
292,IME1,"array([ 57.63402652, -13.34630191])"
293,IME2,"array([ 22.8537962 , -12.41289255])"
294,IME4,"array([ 23.20200546, -13.49133201])"
295,INH1,"array([ 46.32859172, -20.60499905])"
296,INO1,"array([-8.37738193, 20.41036218])"
