# index, name, _pos
399,400,"array([-26.46543861,   6.33598654])"
400,401,"array([-26.6548057 ,   7.57538899])"
401,402,"array([-25.44761564,   5.73755043])"
402,403,"array([-24.97140066,   7.44151087])"
403,404,"array([-27.50473228,   7.11190761])"
404,405,"array([-26.02922783,   7.32045937])"
405,406,"array([-25.45480999,   6.79160649])"
406,407,"array([-26.04109111,   5.99720429])"
407,408,"array([-24.93875599,   6.90364529])"
408,409,"array([-25.72257413,   7.74703738])"
409,410,"array([-26.02601776,   5.4700643 ])"
410,411,"array([-26.6300608 ,   5.77180611])"
411,412,"array([-27.23607416,   7.7328905 ])"
412,413,"array([-25.24336388,   7.90419676])"
413,414,"array([-26.22296344,   8.49746104])"
414,415,"array([-26.71857886,   8.13889173])"
415,416,"array([-27.08830658,   6.30073533])"
416,417,"array([-25.4831092 ,   7.29016819])"
417,418,"array([-36.34289788,   7.16341965])"
418,419,"array([-42.14554793,   4.46788525])"
419,420,"array([-42.23053685,   5.1556947 ])"
420,421,"array([-30.83350839,   3.42977714])"
421,422,"array([-17.74795403,  -3.83805106])"
422,423,"array([-18.36174847,  -4.17010543])"
